Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
21,AEROSPACE TESTING SERVICES,ATS0013,AEROSPACE TESTING SERVICESATS0013,3939 W HARRY ST,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Environmental Chamber,TENNEY TH JR,ATS0013,ATS0013,UNASSIGNED,122°F/190°F,±10.0°F,ELECTRIC ON/OFF,"14"" X 18"" X 14""",2,A,TENNEY TH JR (DIAL)*,ATS0013,±3.0°F,N/A,N/A,N/A,*Tested by comparison readings during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF21-1,"ADAMS ELECTRIC, INC.",,,
22,AEROSPACE TESTING SERVICES,ATS0115,AEROSPACE TESTING SERVICESATS0115,3939 W HARRY ST,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Environmental Chamber,TENNEY BENCHMASTER BTRC,12665-71,ATS0115,UNASSIGNED,100°F/250°F,±10.0°F,ELECTRIC ON/OFF,"20"" X 22"" X 19""",4.8,A,SYNERGY NANO,02/1764,±2.0°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF22-1,ADDENG TECHNOLOGIES,,,
23,AEROSPACE TESTING SERVICES,ATS0243,AEROSPACE TESTING SERVICESATS0243,3939 W HARRY ST,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750G",Customer,Environmental Chamber,ESPEC EXX-2CA,113316,ATS0243,UNASSIGNED,38°F/121°F,±2.8°C,ELECTRIC PROPORTIONAL,"18.5"" X 19"" X 22""",4.5,A,Integrated*,113316,±1.1°C,Integrated*,113316,±1.1°C,*Controller and Recorder verified by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF23-1,ADEX MACHINING TECHNOLOGIES,,,
24,AEROSPACE TESTING SERVICES,ATS0252,AEROSPACE TESTING SERVICESATS0252,3939 W HARRY ST,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Force Air Drying Oven,FO-19013,2019080326,ATS0252,UNASSIGNED,150°F/220°F,±10.0°F,ELECTRIC PROPORTIONAL,"9""X10""X10""",0.52,A,Integrated*,CX-41-13228,±3.0°F,N/A,N/A,N/A,*Controller verified by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF24-1,ADVANCED INTEGRATION TECHNOLOGY,,,
25,AIR CAPITAL INTERIORS,SPRAY BOOTH NO. 1,AIR CAPITAL INTERIORSSPRAY BOOTH NO. 1,9424 E. 37TH ST. N. STE 300,"WICHITA, KS 67226",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PAINT & CURE BOOTH,GLOBAL FINISHING SOLUTIONS,U34471A 1,SPRAY BOOTH NO. 1,UNASSIGNED,100°F,±5.0°F,PROPORTIONAL GAS,20' x 10' x 4',800,A,GFS INSIGHT*,SPRAY BOOTH #1,±2.0°F,N/A,N/A,N/A,*Tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF25-1,"ADVANCED MACHINE, INC.",,,
26,AIR CAPITAL INTERIORS,SPRAY BOOTH NO. 2,AIR CAPITAL INTERIORSSPRAY BOOTH NO. 2,9424 E. 37TH ST. N. STE 300,"WICHITA, KS 67226",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PAINT & CURE BOOTH,GLOBAL FINISHING SOLUTIONS,U34471A 2,SPRAY BOOTH NO. 2,UNASSIGNED,100°F,±5.0°F,PROPORTIONAL GAS,20' x 10' x 4',800,A,GFS INSIGHT*,SPRAY BOOTH #2,±2.0°F,N/A,N/A,N/A,*Tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF26-1,ADVANCED MANUFACTURING TECHNOLOGIES,,,
27,AIR CAPITAL INTERIORS,SPRAY BOOTH NO. 3,AIR CAPITAL INTERIORSSPRAY BOOTH NO. 3,9424 E. 37TH ST. N. STE 300,"WICHITA, KS 67226",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PAINT & CURE BOOTH,GLOBAL FINISHING SOLUTIONS,U93029-A,SPRAY BOOTH NO. 3,UNASSIGNED,100°F,±5.0°F,PROPORTIONAL GAS,24' X 12' X 4',1152,A,Siemens Simatic HA,SPRAY BOOTH #3,*,N/A,N/A,N/A,*Controller Capable of maintaining ±5°F uniformity tolerance.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF27-1,ADVANCED MECHANICAL SOLUTIONS,,,
28,AIR CAPITAL NDI,AIR CAPITAL NDI OVEN,AIR CAPITAL NDIAIR CAPITAL NDI OVEN,4015 W MAY ST,"WICHITA, KS 67209",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PENETRANT DRYING OVEN,CUSTOM,BLUE OVEN,AIR CAPITAL NDI OVEN,UNASSIGNED,150°F,160°F MAXIMUM,ELECTRIC PROPORTIONAL,"28"" X 29"" X 90""",42.3,A,CHROMALOX 6040,BLUE OVEN CONTROLLER,±2.0°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,3.2,1.4,0.25,Mreset 25,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF28-1,ADVANCED THERMOPLASTIC COMPOSITES,,,
29,AIRCRAFT & COMMERCIAL ENT.,DKN-602,AIRCRAFT & COMMERCIAL ENT.DKN-602,800 N RIVER,"DERBY, KS   67037",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750G",Customer,DRYING OVEN,DKN-602,B8900086,DRYING OVEN,UNASSIGNED,125°C,±10.0°C,ELECTRIC PROPORTIONAL,"18"" X 18"" X 22""",4.1,A,Integral*,B8900086,±2°C,PARTLOW,14905990004,±2.0°C,*Tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Shelves,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF29-1,ADVANCED TURNING & MFG.,,,
30,ALBERS FINISHING & SOLUTIONS LLC,Air Dryer Tank,ALBERS FINISHING & SOLUTIONS LLCAir Dryer Tank,38628 W 15TH S,"CHENEY, KS 67025",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,Air Dryer Tank,Custom,Air Dryer Tank,Air Dryer Tank,UNASSIGNED,130°F Max,130°F Max,STEAM,"178"" X 45"" X 70""",324.5,A,Wonderware in Touch,N/A,±5.0°F*,Wonderware in Touch,N/A,±5.0°F*,Tolerance per BAC 5719AA.  *Cont/Rec tested by comparison method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF30-1,ADVANCED WELDING TECHNOLOGIES,,,
31,ALBERS FINISHING & SOLUTIONS LLC,Cure Oven No. 1,ALBERS FINISHING & SOLUTIONS LLCCure Oven No. 1,38628 W 15TH S,"CHENEY, KS 67025",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Cure Oven,GFS-CP-HMI,475356-D,Cure Oven No. 1,UNASSIGNED,130°F/240°F,±10.0°F,GAS,"228"" X 168"" X 84""",1862,Q,Siemens Simatic HM1 Touch,E0-DC-A0-18-75-2D,±2.0°F,Future Design,VR-032265,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF31-1,"AEQUS AERO MACHINE, INC.",,,
32,ALBERS FINISHING & SOLUTIONS LLC,Penetrant Oven,ALBERS FINISHING & SOLUTIONS LLCPenetrant Oven,38628 W 15TH S,"CHENEY, KS 67025",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Penetrant Oven,Custom,F-F-D-1,Penetrant Oven,UNASSIGNED,145°F,±10.0°F,ELECTRIC PROPORTIONAL,"168"" X 30"" X 30""",87.5,Q,Delta dtb4848rr,DB44RR06W16340056,±2.0°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Racks,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF32-1,AERO COMPONENTS INC.,,,
33,ALBERS FINISHING & SOLUTIONS LLC,Tank 301 Aqueous Degreaser,ALBERS FINISHING & SOLUTIONS LLCTank 301 Aqueous Degreaser,38628 W 15TH S,"CHENEY, KS 67025",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Tank 301,Custom,Tank 301,Tank 301 Aqueous Degreaser,UNASSIGNED,120°F/130°F,±5.0°F,STEAM,"178"" X 45"" X 67""",310.6,A,Wonderware in Touch,N/A,±2.0°F*,Wonderware in Touch,N/A,±2.0°F*,*Cont/Rec tested by comparison method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF33-1,AERO INSTRUMENTS,,,
34,ALBERS FINISHING & SOLUTIONS LLC,Tank 302A Immersion Rinse (RO Water),ALBERS FINISHING & SOLUTIONS LLCTank 302A Immersion Rinse (RO Water),38628 W 15TH S,"CHENEY, KS 67025",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Tank 302A,Custom,Tank 302A,Tank 302A Immersion Rinse (RO Water),UNASSIGNED,90°F,±5.0°F,STEAM,"178"" X 45"" X 67""",310.6,A,Wonderware in Touch,N/A,±2.0°F*,Wonderware in Touch,N/A,±2.0°F*,*Cont/Rec tested by comparison method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF34-1,"AERO METAL FORMS, INC.",,,
35,ALBERS FINISHING & SOLUTIONS LLC,Tank 303 Alkaline Clean,ALBERS FINISHING & SOLUTIONS LLCTank 303 Alkaline Clean,38628 W 15TH S,"CHENEY, KS 67025",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Tank 303,Custom,Tank 303,Tank 303 Alkaline Clean,UNASSIGNED,110°F/180°F,±5.0°F,STEAM,"178"" X 45"" X 67""",310.6,A,Wonderware in Touch,N/A,±2.0°F*,Wonderware in Touch,N/A,±2.0°F*,*Cont/Rec tested by comparison method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF35-1,AERO SPACE CONTROLS CORP.,,,
